id,title,subtitle,metadata
1,Not All Rainbows and Sunshine: The Darker Side of ChatGPT,Part 1: The Risks and Ethical Issues…,{'title': 'Not All Rainbows and Sunshine: The Darker Side of\xa0ChatGPT Part 1: The Risks and Ethical\xa0Issues…'}
2,Ethics in AI: Potential Root Causes for Biased Algorithms,An alternative approach to understanding bias in data,{'title': 'Ethics in AI: Potential Root Causes for Biased Algorithms An alternative approach to understanding bias in\xa0data'}
3,"Python Tuple, The Whole Truth and Only the Truth: Let’s Dig Deep",,"{'title': 'Python Tuple, The Whole Truth and Only the Truth: Let’s Dig\xa0Deep nan'}"
4,Dates and Subqueries in SQL,Working with dates in SQL,{'title': 'Dates and Subqueries in\xa0SQL Working with dates in\xa0SQL'}
5,Temporal Differences with Python: First Sample-Based Reinforcement Learning Algorithm,,{'title': 'Temporal Differences with Python: First Sample-Based Reinforcement Learning Algorithm nan'}
6,Going Under the Hood of Character-Level RNNs: A NumPy-based Implementation Guide,Due to the recent…,{'title': 'Going Under the Hood of Character-Level RNNs: A NumPy-based Implementation Guide Due to the\xa0recent…'}
7,"ChatGPT isn’t all it seems, read this before you use it.",ChatGPT is an AI…,"{'title': 'ChatGPT isn’t all it seems, read this before you use\xa0it. ChatGPT is an\xa0AI…'}"
8,10 Subtle Strategies I Wish I Knew When I Had 23 Email Subscribers and Made $0 Online,,{'title': '10 Subtle Strategies I Wish I Knew When I Had 23 Email Subscribers and Made $0\xa0Online nan'}
9,How To Start A Niche Site in Under 3 Hours (With Checklist),How to build a niche site in only one hour…,{'title': 'How To Start A Niche Site in Under 3 Hours (With Checklist) How to build a niche site in only one\xa0hour…'}
10,Don’t Become a Full-Time Content Creator If You Have Low-Risk Tolerance,A friendly warning before you…,{'title': 'Don’t Become a Full-Time Content Creator If You Have Low-Risk Tolerance A friendly warning before\xa0you…'}
11,Why Storytelling Is A Critical Skill For Startup Founders,,{'title': 'Why Storytelling Is A Critical Skill For Startup\xa0Founders nan'}
12,Why My Side Hustle Stuck After 3 Years and What I Want to Do to Improve It,A change is required to…,{'title': 'Why My Side Hustle Stuck After 3 Years and What I Want to Do to Improve\xa0It A change is required\xa0to…'}
13,Kill Your Perfectionism with an Abundance Mindset,Perfectionism is a recipe…,{'title': 'Kill Your Perfectionism with an Abundance Mindset Perfectionism is a\xa0recipe…'}
14,"<strong class=""markup--strong markup--h3-strong"">How My MBA Made Me a Better Fiction Writer</strong>","Six years after graduating, I’m almost glad I went there","{'title': '<strong class=""markup--strong markup--h3-strong"">How My MBA Made Me a Better Fiction\xa0Writer</strong> Six years after graduating, I’m almost glad I went\xa0there'}"
15,"For this Writer, Self-Promotion isn’t Easy",Pushing a new book on social media is a skill set I wish I…,"{'title': 'For this Writer, Self-Promotion isn’t\xa0Easy Pushing a new book on social media is a skill set I wish\xa0I…'}"
16,How to Start Your Novel with Momentum to Finish It,3 strategies to a great beginning.,{'title': 'How to Start Your Novel with Momentum to Finish\xa0It 3 strategies to a great beginning.'}
17,"<strong class=""markup--strong markup--h3-strong"">Using Propensity-Score Matching to Build Leading Indicators</strong>","<strong class=""markup--strong markup--h4-strong"">A short guide on building activation</strong>","{'title': '<strong class=""markup--strong markup--h3-strong"">Using Propensity-Score Matching to Build Leading Indicators</strong> <strong class=""markup--strong markup--h4-strong"">A short guide on building activation</strong>'}"
18,Coupon Collector’s Problem: A Probability Masterpiece,Unpacking the intricacies of a classic…,{'title': 'Coupon Collector’s Problem: A Probability Masterpiece Unpacking the intricacies of a\xa0classic…'}
19,R for Data Analysis: How to Find the Perfect Cocomelon Video for Your Kids,How to Build End-to-End…,{'title': 'R for Data Analysis: How to Find the Perfect Cocomelon Video for Your\xa0Kids How to Build End-to-End…'}
20,Sparkles aren’t good UX✨,"Even if they’re aesthetically pleasing, you can’t substitute important…","{'title': 'Sparkles aren’t good\xa0UX✨ Even if they’re aesthetically pleasing, you can’t substitute important…'}"
21,Visualizing direction and the use of arrows,How graphic arrows support our natural abilities and make…,{'title': 'Visualizing direction and the use of\xa0arrows How graphic arrows support our natural abilities and\xa0make…'}
22,Building massive prototypes in Figma,"Why, how and what of creating complex prototypes.","{'title': 'Building massive prototypes in\xa0Figma Why, how and what of creating complex prototypes.'}"
23,5 design projects using non-human personas to give nature a voice,Interviews with practitioners show…,{'title': '5 design projects using non-human personas to give nature a\xa0voice Interviews with practitioners show…'}
24,Conversational AI search: beware of smoke and mirrors,Search bots based on LLMs contain hidden dangers,{'title': 'Conversational AI search: beware of smoke and\xa0mirrors Search bots based on LLMs contain hidden\xa0dangers'}
25,"I’ve Been Writing Online for the Last 9 Years and Made 7 Figures. If I Had to Start Again, Here’s What I’d Do.",,"{'title': 'I’ve Been Writing Online for the Last 9 Years and Made 7 Figures. If I Had to Start Again, Here’s What I’d\xa0Do. nan'}"
26,How to Price Your Freelance Writing Services and Make $5K+/Month,Written by someone who’s doing just…,{'title': 'How to Price Your Freelance Writing Services and Make $5K+/Month Written by someone who’s doing\xa0just…'}
27,How I Balanced a Side Hustle With a 9–5 Until I Quit for 4-Hour Workdays,Here are various tips for you.,{'title': 'How I Balanced a Side Hustle With a 9–5 Until I Quit for 4-Hour\xa0Workdays Here are various tips for\xa0you.'}
28,How I’ve Showed Up To Write on the Internet for 1000 Days,The things you’ve never been told,{'title': 'How I’ve Showed Up To Write on the Internet for 1000\xa0Days The things you’ve never been\xa0told'}
29,"<strong class=""markup--strong markup--h3-strong"">Here’s How I Would Make My $1 Online With the Help of AI if I Had to Start Over</strong>",It’s easy but you have…,"{'title': '<strong class=""markup--strong markup--h3-strong"">Here’s How I Would Make My $1 Online With the Help of AI if I Had to Start\xa0Over</strong> It’s easy but you\xa0have…'}"
30,"<strong class=""markup--strong markup--h3-strong""><em class=""markup--em markup--h3-em"">The Secret to Unlocking Your Brain’s Capacity: A Simple Hack for Balancing Quick Critical Thinking and Solving</em></strong>",,"{'title': '<strong class=""markup--strong markup--h3-strong""><em class=""markup--em markup--h3-em"">The Secret to Unlocking Your Brain’s Capacity: A Simple Hack for Balancing Quick Critical Thinking and\xa0Solving</em></strong> nan'}"
31,The Three Writing Exercises That Actually Help Me Out Of Fiction Ruts,And a bonus productivity tip…,{'title': 'The Three Writing Exercises That Actually Help Me Out Of Fiction\xa0Ruts And a bonus productivity tip…'}
32,Ten Months To Publication: So Who Is Kaye Macey?,Fictional characters and method writing.,{'title': 'Ten Months To Publication: So Who Is Kaye\xa0Macey? Fictional characters and method\xa0writing.'}
33,"<strong class=""markup--strong markup--h3-strong"">Overcoming Automatic Speech Recognition Challenges: The Next Frontier</strong>","Advancements, Opportunities, and…","{'title': '<strong class=""markup--strong markup--h3-strong"">Overcoming Automatic Speech Recognition Challenges: The Next\xa0Frontier</strong> Advancements, Opportunities, and…'}"
34,Tackling the Problems of a Changing World with Data,,{'title': 'Tackling the Problems of a Changing World with\xa0Data nan'}
35,Why is it so difficult to successfully get AI technologies adopted into clinical care?,,{'title': 'Why is it so difficult to successfully get AI technologies adopted into clinical\xa0care? nan'}
36,Maintaining the Quality of Your Feature Store,The fundamentals of feature stores and a few tips on how…,{'title': 'Maintaining the Quality of Your Feature\xa0Store The fundamentals of feature stores and a few tips on\xa0how…'}
37,From burnout to balance: why are so many UX designers fatigued?,There’s a mental health problem in UX…,{'title': 'From burnout to balance: why are so many UX designers fatigued? There’s a mental health problem in\xa0UX…'}
38,How Airbnb attracted close to a million new hosts in 2022,A review of the platform’s host onboarding…,{'title': 'How Airbnb attracted close to a million new hosts in\xa02022 A review of the platform’s host onboarding…'}
39,From Zero to $100 a Day: The Ultimate Guide to Launching a Content-Based Business,In less than 3 hours…,{'title': 'From Zero to $100 a Day: The Ultimate Guide to Launching a Content-Based Business In less than 3\xa0hours…'}
40,How I Built Online Income Streams Alongside My 9–5,"And how you can, too.","{'title': 'How I Built Online Income Streams Alongside My\xa09–5 And how you can,\xa0too.'}"
41,"<strong class=""markup--strong markup--h3-strong"">How a Bag of Broccoli Taught Me an Unforgettable Lesson About Startups</strong>",You don’t have to like…,"{'title': '<strong class=""markup--strong markup--h3-strong"">How a Bag of Broccoli Taught Me an Unforgettable Lesson About\xa0Startups</strong> You don’t have to\xa0like…'}"
42,"4 Months Ago, I Quit My Job to Start My Own Business. Here Are 5 Career Lessons I Have Learned So Far.",,"{'title': '4 Months Ago, I Quit My Job to Start My Own Business. Here Are 5 Career Lessons I Have Learned So\xa0Far. nan'}"
43,Selling Your Self-Published Novel is All About Relationships,,{'title': 'Selling Your Self-Published Novel is All About Relationships nan'}
44,How to Write Better Character Description,Simple Tips That Any Writer Can Apply,{'title': 'How to Write Better Character Description Simple Tips That Any Writer Can\xa0Apply'}
45,How to Effectively Use Lambda Functions in Python as a Data Scientist,An introduction to their syntax…,{'title': 'How to Effectively Use Lambda Functions in Python as a Data Scientist An introduction to their\xa0syntax…'}
46,Using PyGWalker to Enhance Your Jupyter Notebook EDA Experience,An Introduction to the PyGWalker…,{'title': 'Using PyGWalker to Enhance Your Jupyter Notebook EDA Experience An Introduction to the PyGWalker…'}
47,5 Jupyter Hacks That You Never Knew Even Existed,With a bonus tip,{'title': '5 Jupyter Hacks That You Never Knew Even\xa0Existed With a bonus\xa0tip'}
48,Building a Recommender System using Machine Learning,,{'title': 'Building a Recommender System using Machine\xa0Learning nan'}
49,ChatGPT’s Electricity Consumption,ChatGPT may have consumed as much electricity…,{'title': 'ChatGPT’s Electricity Consumption ChatGPT may have consumed as much electricity…'}
50,Unlocking the Potential of JupyterLab: Discover the Powerful Text Editor You Never Knew You Had,,{'title': 'Unlocking the Potential of JupyterLab: Discover the Powerful Text Editor You Never Knew You\xa0Had nan'}
51,10 Things About Julia I Wish I Knew Earlier,Various different Julian programming concepts that I wish…,{'title': '10 Things About Julia I Wish I Knew\xa0Earlier Various different Julian programming concepts that I\xa0wish…'}
52,How to Tackle Class Imbalance Without Resampling,Imbalanced classification beyond resampling…,{'title': 'How to Tackle Class Imbalance Without Resampling Imbalanced classification beyond resampling…'}
53,MLOps with Optuna,"Don’t waste your time, use Optuna","{'title': 'MLOps with\xa0Optuna Don’t waste your time, use\xa0Optuna'}"
54,The Kaggle Blueprints: Unlocking Winning Approaches to Data Science Competitions,,{'title': 'The Kaggle Blueprints: Unlocking Winning Approaches to Data Science Competitions nan'}
55,Introduction to PyTorch,Going through the Workflow of a PyTorch Project,{'title': 'Introduction to\xa0PyTorch Going through the Workflow of a PyTorch\xa0Project'}
56,Command Line Interface (CLI) Tutorial — How Advanced Users Interact with Computers,,{'title': 'Command Line Interface (CLI) Tutorial\u200a—\u200aHow Advanced Users Interact with Computers nan'}
57,SEIR Modeling in R Using deSolve — Chronic Wasting Disease in Deer,Gaining health policy insight with…,{'title': 'SEIR Modeling in R Using deSolve\u200a—\u200aChronic Wasting Disease in\xa0Deer Gaining health policy insight\xa0with…'}
58,"Optimization, Newton’s Method, & Profit Maximization: Part 3 — Applied Profit Maximization",,"{'title': 'Optimization, Newton’s Method, & Profit Maximization: Part 3\u200a—\u200aApplied Profit Maximization nan'}"
59,Using Apache Kafka for Data Streaming,Learn how to install and use Kafka to send and receive messages,{'title': 'Using Apache Kafka for Data Streaming Learn how to install and use Kafka to send and receive\xa0messages'}
60,Breaking Linearity With ReLU,Explaining how and why the ReLU activation function is non-linear,{'title': 'Breaking Linearity With\xa0ReLU Explaining how and why the ReLU activation function is non-linear'}
61,5 ways of Implementing Open Closed Principle with Python,Object Oriented Programming Principles for…,{'title': '5 ways of Implementing Open Closed Principle with\xa0Python Object Oriented Programming Principles for…'}
62,Migrating data? Make the most of the Product itself!,Use the product features to make the data…,{'title': 'Migrating data? Make the most of the Product\xa0itself! Use the product features to make the\xa0data…'}
63,Figma culture is destroying our individualism as designers,How online communities and brand addiction…,{'title': 'Figma culture is destroying our individualism as designers How online communities and brand addiction…'}
